Title,Location,Company,Url
Data Scientist Débutant H/F Machine Learning Geosciences,"Pau, Nouvelle-Aquitaine, France",TotalEnergies,https://fr.linkedin.com/jobs/view/data-scientist-d%C3%A9butant-h-f-machine-learning-geosciences-at-totalenergies-4138971775?position=11&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=NI8B1dyfKZPgM3zP57HDNQ%3D%3D
Data Scientist Débutant H/F Machine Learning Geosciences,"Pau, Nouvelle-Aquitaine, France",TotalEnergies,https://fr.linkedin.com/jobs/view/data-scientist-d%C3%A9butant-h-f-machine-learning-geosciences-at-totalenergies-4142499916?position=12&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=ZEOwGVVV72b44ZvPgnsQvw%3D%3D
Ingénieur Testeur QA (H/F),"Pau, Nouvelle-Aquitaine, France",fortil,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-testeur-qa-h-f-at-fortil-4133582319?position=13&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=Q1mMKqqusUzTs1X9sfI%2BkQ%3D%3D
Ingénieur Banc de Test H/F,"Tarbes, Occitanie, France",Scalian,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-banc-de-test-h-f-at-scalian-4142374026?position=14&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=jiFJ6u8%2BglO2m5dsVEzlQQ%3D%3D
Ingénieur Développement Logiciel H/F,"Narcastet, Nouvelle-Aquitaine, France",STEP UP,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-d%C3%A9veloppement-logiciel-h-f-at-step-up-4129496621?position=15&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=SWpbPwg9gmuyMiv4dccAAg%3D%3D
Full Stack Developer,"Hours, Nouvelle-Aquitaine, France",Big Motoring World Group,https://fr.linkedin.com/jobs/view/full-stack-developer-at-big-motoring-world-group-4137033801?position=16&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=A4s%2B8T5A1BxO0LkEKnsWHA%3D%3D
Ingénieur d'application projet pipeline (H/F) chez FEBUS Optics,"Pau, Nouvelle-Aquitaine, France",Kicklox - Plateforme de matching entre talents tech &amp; porteurs de projets,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-d-application-projet-pipeline-h-f-chez-febus-optics-at-kicklox-plateforme-de-matching-entre-talents-tech-porteurs-de-projets-4146806820?position=17&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=J2fQ9gu2QJYQBua7N9sw2w%3D%3D
SOFTWARE INTEGRATION ENG,"Hours, Nouvelle-Aquitaine, France",Covenant Health,https://fr.linkedin.com/jobs/view/software-integration-eng-at-covenant-health-4092204052?position=18&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=JDhXqMkmVWVTaG8B7J44lA%3D%3D
Ingénieur Intelligence Artificielle (H/F),"Pau, Nouvelle-Aquitaine, France",Prof en Poche,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-intelligence-artificielle-h-f-at-prof-en-poche-4146884823?position=19&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=awGEby6QBqpLyzVydvUQ5w%3D%3D
Développeur / Développeuse informatique,"Vic-en-Bigorre, Occitanie, France",Semence Nature,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-d%C3%A9veloppeuse-informatique-at-semence-nature-4132803330?position=20&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=TakZ5HMVoTsmhbqE7XPGIw%3D%3D
Tech Lead - PAU,"Pau, Nouvelle-Aquitaine, France",Capgemini,https://fr.linkedin.com/jobs/view/tech-lead-pau-at-capgemini-4124701399?position=21&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=3735lwi5ZzGE4HDXcyNmQg%3D%3D
Ingénieur Développement Logiciel H/F,"Narcastet, Nouvelle-Aquitaine, France",B.E.C. SUD OUEST DEVELOPPEMENT,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-d%C3%A9veloppement-logiciel-h-f-at-b-e-c-sud-ouest-developpement-4128388317?position=22&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=6VIfa5ojhVD4DiXix715Sw%3D%3D
Développeur Logiciel C# - C++ H/F,"Pau, Nouvelle-Aquitaine, France",Consept - Assembleur de Talents,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-logiciel-c%23-c%2B%2B-h-f-at-consept-assembleur-de-talents-3990395412?position=23&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=Qlsrt6ByG3NNVwywpn8prA%3D%3D
Ingénieure/ Ingénieur DevOps Cloud - PAU,Greater Pau Area,Capgemini,https://fr.linkedin.com/jobs/view/ing%C3%A9nieure-ing%C3%A9nieur-devops-cloud-pau-at-capgemini-4138038415?position=24&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=qFjuyI7dZ00CU6IfqRsW%2BQ%3D%3D
Tech Lead Java/ Angular (F/H),"Tarbes, Occitanie, France",FMS - Entreprise Adaptée et Solidaire,https://fr.linkedin.com/jobs/view/tech-lead-java-angular-f-h-at-fms-entreprise-adapt%C3%A9e-et-solidaire-4084255208?position=25&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=Pi%2BQ8PCSIJoBRQx6Du3owQ%3D%3D
Développeuse / Développeur Java - Pau,Greater Pau Area,Capgemini,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeuse-d%C3%A9veloppeur-java-pau-at-capgemini-4138036639?position=26&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=GBg6TdAbBGg%2Fj8B3EX0EZA%3D%3D
Ingénieur support méthodes et développement projet dans les énergies renouvelables - Débutant H/F,"Pau, Nouvelle-Aquitaine, France",TotalEnergies,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-support-m%C3%A9thodes-et-d%C3%A9veloppement-projet-dans-les-%C3%A9nergies-renouvelables-d%C3%A9butant-h-f-at-totalenergies-4053502503?position=27&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=U2LTItLReruVO59FmsUr2g%3D%3D
Ingénieur(e) AVEVA PI F/H,"Pau, Nouvelle-Aquitaine, France",CGI,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-e-aveva-pi-f-h-at-cgi-4081310155?position=28&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=Qgr9uzy0Xul5lmNxbqPvlA%3D%3D
Stagiaire Developpement Outils (H/F) - DAHER,"Tarbes, Occitanie, France",AEROCONTACT,https://fr.linkedin.com/jobs/view/stagiaire-developpement-outils-h-f-daher-at-aerocontact-4137790684?position=29&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=mD2DOOLjOT98Wmb5UDWdDg%3D%3D
Contrôleur commande - Ferroviaire - PAU (H/F),"Pau, Nouvelle-Aquitaine, France",Capgemini Engineering,https://fr.linkedin.com/jobs/view/contr%C3%B4leur-commande-ferroviaire-pau-h-f-at-capgemini-engineering-4095134415?position=30&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=xJXwwsNJMk4zPJk8rLWM1g%3D%3D
Développeur full-stack .NET Progress F/H,"Tarbes, Occitanie, France",ELCIA Group,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-full-stack-net-progress-f-h-at-elcia-group-4138089431?position=31&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=TIQhNsLnTYI%2B5E0fnhHTFg%3D%3D
Ingénieur/Ingénieure Projets Européens Sciences et Techniques (H/F),"Pau, Nouvelle-Aquitaine, France",University of Pau and Adour Countries,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-ing%C3%A9nieure-projets-europ%C3%A9ens-sciences-et-techniques-h-f-at-university-of-pau-and-adour-countries-4139453346?position=32&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=Ee%2FvImv%2FSO98yxR0BgYgZA%3D%3D
Ingénieur(e) Safety - Sécurité et Risques Industriels H/F,"Pau, Nouvelle-Aquitaine, France",EKIUM,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-e-safety-s%C3%A9curit%C3%A9-et-risques-industriels-h-f-at-ekium-4057707732?position=33&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=RywDXmcPpbSyohm4dvqShQ%3D%3D
Ingénieure/Ingénieur Modélisation Processus - PAU F/H,"Pau, Nouvelle-Aquitaine, France",Capgemini Engineering,https://fr.linkedin.com/jobs/view/ing%C3%A9nieure-ing%C3%A9nieur-mod%C3%A9lisation-processus-pau-f-h-at-capgemini-engineering-4123863073?position=34&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=k21p5lH3ygassIsZ7IaP6g%3D%3D
Leader Technique Développement Logiciel (F/H),"Pau, Nouvelle-Aquitaine, France",Groupe SII,https://fr.linkedin.com/jobs/view/leader-technique-d%C3%A9veloppement-logiciel-f-h-at-groupe-sii-4117259873?position=35&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=Nf%2FzKuCzwH23fxmvy6131A%3D%3D
Programmeur cn/méthodes H/F chez ARS Anti-Retour System,"Ibos, Occitanie, France",Kicklox - Plateforme de matching entre talents tech &amp; porteurs de projets,https://fr.linkedin.com/jobs/view/programmeur-cn-m%C3%A9thodes-h-f-chez-ars-anti-retour-system-at-kicklox-plateforme-de-matching-entre-talents-tech-porteurs-de-projets-4146806731?position=36&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=YYthhzMc0ulNB7rRQfzpCw%3D%3D
Chef de projet Ingénierie / Ingénieur Projet,"Pau, Nouvelle-Aquitaine, France",Parlym Project Management,https://fr.linkedin.com/jobs/view/chef-de-projet-ing%C3%A9nierie-ing%C3%A9nieur-projet-at-parlym-project-management-4116294722?position=37&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=6hI3RSutM1Y1IYNuJV3Cuw%3D%3D
Développeuse/ Développeur Java - PAU,"Pau, Nouvelle-Aquitaine, France",Capgemini,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeuse-d%C3%A9veloppeur-java-pau-at-capgemini-4138021176?position=38&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=fdDMSFdmgdVDOVpbzs5Rcw%3D%3D
Stagiaire Developpement Script et Outils informatiques (H/F),"Tarbes, Occitanie, France",DAHER,https://fr.linkedin.com/jobs/view/stagiaire-developpement-script-et-outils-informatiques-h-f-at-daher-4074551631?position=39&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=JnaiIJUsk8HEuvpyK3DCCQ%3D%3D
Tech Lead Devops (H/F),"Pau, Nouvelle-Aquitaine, France",Teréga,https://fr.linkedin.com/jobs/view/tech-lead-devops-h-f-at-ter%C3%A9ga-4142836186?position=40&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=VO1pDryvu7Yh0XalSSRLAg%3D%3D
Chef de projet Ingénierie / Ingénieur Projet,"Pau, Nouvelle-Aquitaine, France",Parlym,https://fr.linkedin.com/jobs/view/chef-de-projet-ing%C3%A9nierie-ing%C3%A9nieur-projet-at-parlym-4086471928?position=41&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=Gr3UFaMgQ27kLR7byxwLXg%3D%3D
Ing./MSc. Internship Proposal in Computer Science :  Edge-Assisted eXtended Reality Operated with Digital Twin for Aerospace Industry,"Pau, Nouvelle-Aquitaine, France",CESI,https://fr.linkedin.com/jobs/view/ing-msc-internship-proposal-in-computer-science-edge-assisted-extended-reality-operated-with-digital-twin-for-aerospace-industry-at-cesi-4136529097?position=42&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=bjl2HLb6lphqfsik3P0pfA%3D%3D
STAGE - F/H Ingénieur Projet CVCD,"Berdoues, Occitanie, France",EQUANS,https://fr.linkedin.com/jobs/view/stage-f-h-ing%C3%A9nieur-projet-cvcd-at-equans-3575008815?position=44&pageNum=0&refId=7mz1WGmdQOW2S3TldPXJFw%3D%3D&trackingId=zdeXmfg2kZmcgAkpiusP8g%3D%3D
INGENIEUR DEVELOPPEMENT LOGICIEL (H/F),"Narcastet, Nouvelle-Aquitaine, France",ARIAL Industries,https://fr.linkedin.com/jobs/view/ingenieur-developpement-logiciel-h-f-at-arial-industries-4127677944?position=1&pageNum=0&refId=iwvSm3J37SUDvitlx5sf1g%3D%3D&trackingId=ehyyVrvBCMaq92lf0ZlJ4A%3D%3D
Ingénieur Automatisme Industriel (H/F) – Pau,Greater Pau Area,Irian Mecatronics,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-automatisme-industriel-h-f-%E2%80%93-pau-at-irian-mecatronics-4126134655?position=2&pageNum=0&refId=iwvSm3J37SUDvitlx5sf1g%3D%3D&trackingId=2AV5%2FT4nhZhnPvsGXPZuQQ%3D%3D
Ingenieur Developpement Logiciel H/F,"Narcastet, Nouvelle-Aquitaine, France",ARIAL Industries,https://fr.linkedin.com/jobs/view/ingenieur-developpement-logiciel-h-f-at-arial-industries-4128387635?position=3&pageNum=0&refId=iwvSm3J37SUDvitlx5sf1g%3D%3D&trackingId=eyROfCfCoQ6PzhR9C3TeBA%3D%3D
**** (*/*),"*********, ********-*********, ******",***** **********,https://fr.linkedin.com/jobs/view/amoe-h-f-at-arial-industries-4143592281?position=4&pageNum=0&refId=iwvSm3J37SUDvitlx5sf1g%3D%3D&trackingId=NldRJnVvVHtLDjqFZZdkrw%3D%3D
**** */*,"*********, ********-*********, ******",***** **********,https://fr.linkedin.com/jobs/view/amoe-h-f-at-arial-industries-4144161161?position=5&pageNum=0&refId=iwvSm3J37SUDvitlx5sf1g%3D%3D&trackingId=yNhWh8ANEBfNnnIVQMyNRw%3D%3D
*é********* *# / ******* ************ */*,"******, *********, ******",***** *****,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-c%23-testeur-automaticien-f-h-at-elcia-group-4144420755?position=6&pageNum=0&refId=iwvSm3J37SUDvitlx5sf1g%3D%3D&trackingId=0oTrNFOzKorfY5dpGNeUhw%3D%3D
***é***** ***** ** **** */*,"******, *********, ******",*******,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-bancs-de-test-h-f-at-scalian-4144370985?position=7&pageNum=0&refId=iwvSm3J37SUDvitlx5sf1g%3D%3D&trackingId=26sbiTdYNZ3XVh1ooIpZCw%3D%3D
INGENIEUR DEVELOPPEMENT LOGICIEL (H/F),"Narcastet, Nouvelle-Aquitaine, France",ARIAL Industries,https://fr.linkedin.com/jobs/view/ingenieur-developpement-logiciel-h-f-at-arial-industries-4127677944?position=1&pageNum=0&refId=jx%2F3pFYyLyjYGzFyu9qOqg%3D%3D&trackingId=iQgBEq7%2F0wISN1Qn1p3ZVg%3D%3D
Ingénieur Automatisme Industriel (H/F) – Pau,Greater Pau Area,Irian Mecatronics,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-automatisme-industriel-h-f-%E2%80%93-pau-at-irian-mecatronics-4126134655?position=2&pageNum=0&refId=jx%2F3pFYyLyjYGzFyu9qOqg%3D%3D&trackingId=OOCOZApu%2FE80L4Vhv8nVWA%3D%3D
Data Scientist H/F,"Pau, Nouvelle-Aquitaine, France",ISAGRI,https://fr.linkedin.com/jobs/view/data-scientist-h-f-at-isagri-4146890116?position=3&pageNum=0&refId=jx%2F3pFYyLyjYGzFyu9qOqg%3D%3D&trackingId=C2wYBK4gkFoTzzZ%2BB5hvog%3D%3D
********* ************* ******** */*,"*********, ********-*********, ******",***** **********,https://fr.linkedin.com/jobs/view/ingenieur-developpement-logiciel-h-f-at-arial-industries-4128387635?position=4&pageNum=0&refId=jx%2F3pFYyLyjYGzFyu9qOqg%3D%3D&trackingId=qJ%2BwWWqFd%2FZ0Ov9%2FeXBJJA%3D%3D
***é***** ***** ** **** */*,"******, *********, ******",*******,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-bancs-de-test-h-f-at-scalian-4144370985?position=5&pageNum=0&refId=jx%2F3pFYyLyjYGzFyu9qOqg%3D%3D&trackingId=dQk9V0EWqupMcrhyyuiqFQ%3D%3D
*é********* *# / ******* ************ */*,"******, *********, ******",***** *****,https://fr.linkedin.com/jobs/view/d%C3%A9veloppeur-c%23-testeur-automaticien-f-h-at-elcia-group-4144420755?position=6&pageNum=0&refId=jx%2F3pFYyLyjYGzFyu9qOqg%3D%3D&trackingId=WfKk885Zn3mnPlcFJ%2FUNLQ%3D%3D
"***é***** *'é***** é********** */* - ********** ******** */*, ** ****","************-*****, ********-*********, ******",****** ****** - *******,https://fr.linkedin.com/jobs/view/ing%C3%A9nieur-d-%C3%A9tudes-%C3%A9lectriques-h-f-electrical-engineer-w-m-ps-emea-at-kohler-energy-engines-4135516885?position=7&pageNum=0&refId=jx%2F3pFYyLyjYGzFyu9qOqg%3D%3D&trackingId=F8%2BGYP2ifWTVXK5B6%2BWglw%3D%3D
